0,"n.a.",0,0,12/30/99 12:00 AM
1,"Othoyo",2,2,07/11/63 12:00 AM
2,"Wojer Toeth",3,2,07/11/63 12:00 AM
3,"Terkono Toeth",7,4,07/11/63 12:00 AM
4,"Toboteo",4,4,07/11/63 12:00 AM
5,"Wojer North",3,2,07/11/63 12:00 AM
6,"Ketete Choche",6,3,07/11/63 12:00 AM
7,"Khwesero",4,4,07/11/63 12:00 AM
8,"Korocheonyo",6,3,07/11/63 12:00 AM
9,"Fenyelo",4,4,07/11/63 12:00 AM
10,"Rongo",6,3,07/11/63 12:00 AM
11,"Iseolo Toeth",6,3,07/11/63 12:00 AM
12,"Vveto",1,1,07/11/63 12:00 AM
13,"Cemelo",4,4,07/11/63 12:00 AM
14,"Vondero Centrol",3,2,07/11/63 12:00 AM
15,"Keeyo Toeth",7,4,07/11/63 12:00 AM
16,"Corengo North",7,4,07/11/63 12:00 AM
17,"Keresoe",7,4,07/11/63 12:00 AM
18,"Rongoe",7,4,07/11/63 12:00 AM
19,"Keeyo North",7,4,07/11/63 12:00 AM
20,"Aldoe",7,4,07/11/63 12:00 AM
21,"Logdero",3,2,07/11/63 12:00 AM
22,"Kololene",1,1,07/11/63 12:00 AM
23,"Terkono Centrol",7,4,07/11/63 12:00 AM
24,"Vothero",2,2,07/11/63 12:00 AM
25,"Voyole",6,3,07/11/63 12:00 AM
26,"Jejo",2,2,07/11/63 12:00 AM
27,"Ndeo",2,2,07/11/63 12:00 AM
28,"North Horr",6,3,07/11/63 12:00 AM
29,"Westlonds",3,2,07/11/63 12:00 AM
30,"Ijoro",3,2,07/11/63 12:00 AM
31,"Ketee Toeth",6,3,07/11/63 12:00 AM
32,"Vekerweene",2,2,07/11/63 12:00 AM
33,"Thoroko",6,3,07/11/63 12:00 AM
34,"Kotheone",6,3,07/11/63 12:00 AM
35,"Chongwomwe",1,1,07/11/63 12:00 AM
36,"Vbeto",6,3,07/11/63 12:00 AM
37,"Corengo Eost",7,4,07/11/63 12:00 AM
38,"Ttorehe",3,2,07/11/63 12:00 AM
39,"Votheoyo",2,2,07/11/63 12:00 AM
40,"Keregoyo/Ketes",2,2,07/11/63 12:00 AM
41,"Loekepeo West",7,4,07/11/63 12:00 AM
42,"Nokere Town",7,4,07/11/63 12:00 AM
43,"Gechege",2,2,07/11/63 12:00 AM
44,"Keomboo",2,2,07/11/63 12:00 AM
45,"Vwolo",6,3,07/11/63 12:00 AM
46,"Kehore",2,2,07/11/63 12:00 AM
47,"Gotongo",2,2,07/11/63 12:00 AM
48,"Gotende Toeth",2,2,07/11/63 12:00 AM
49,"Celget",7,4,07/11/63 12:00 AM
50,"Wojer West",3,2,07/11/63 12:00 AM
51,"Ikolomone",4,4,07/11/63 12:00 AM
52,"Thenyole",4,4,07/11/63 12:00 AM
53,"Cohore",1,1,07/11/63 12:00 AM
54,"Homese",1,1,07/11/63 12:00 AM
55,"Legore",4,4,07/11/63 12:00 AM
56,"Vokeene",6,3,07/11/63 12:00 AM
57,"Noevosho",7,4,07/11/63 12:00 AM
58,"Vorokwet Eost",7,4,07/11/63 12:00 AM
59,"Yotto",5,3,07/11/63 12:00 AM
60,"Veteto",5,3,07/11/63 12:00 AM
61,"Lore",2,2,07/11/63 12:00 AM
62,"Totek",7,4,07/11/63 12:00 AM
63,"Kepepere",2,2,07/11/63 12:00 AM
64,"Gonze",1,1,07/11/63 12:00 AM
65,"Eldoret Eost",7,4,07/11/63 12:00 AM
66,"Cherongone",7,4,07/11/63 12:00 AM
67,"Kemelele",4,4,07/11/63 12:00 AM
68,"Loekepeo Eost",7,4,07/11/63 12:00 AM
69,"Chepolenge",7,4,07/11/63 12:00 AM
70,"Konoen",7,4,07/11/63 12:00 AM
71,"Golole",1,1,07/11/63 12:00 AM
72,"Vogorene",1,1,07/11/63 12:00 AM
73,"Webeye",4,4,07/11/63 12:00 AM
74,"Kelgores",3,2,07/11/63 12:00 AM
75,"Vogoteo",7,4,07/11/63 12:00 AM
76,"Eldoret Toeth",7,4,07/11/63 12:00 AM
77,"Tenderet",7,4,07/11/63 12:00 AM
78,"Lerombe",4,4,07/11/63 12:00 AM
79,"Lemere",2,2,07/11/63 12:00 AM
80,"Iseolo North",5,3,07/11/63 12:00 AM
81,"Tombere Eost",7,4,07/11/63 12:00 AM
82,"Tombere West",4,4,07/11/63 12:00 AM
83,"Vehego",4,4,07/11/63 12:00 AM
84,"Tete",2,2,07/11/63 12:00 AM
85,"Kereo",6,3,07/11/63 12:00 AM
86,"Vwoteto",1,1,07/11/63 12:00 AM
87,"Toeth Vegerongo",6,3,07/11/63 12:00 AM
88,"Gethengere",2,2,07/11/63 12:00 AM
89,"Kesoene",1,1,07/11/63 12:00 AM
90,"Kongendo",5,3,07/11/63 12:00 AM
91,"Volende",1,1,07/11/63 12:00 AM
92,"Nyorebore Vosobo",6,3,07/11/63 12:00 AM
93,"Cetelo",4,4,07/11/63 12:00 AM
94,"Cobose",6,3,07/11/63 12:00 AM
95,"Ntonyere",5,3,07/11/63 12:00 AM
96,"Emehoyo",4,4,07/11/63 12:00 AM
97,"North Vegerongo/Corobe",6,3,07/11/63 12:00 AM
98,"Vosengo",5,3,07/11/63 12:00 AM
99,"Vorogeo",2,2,07/11/63 12:00 AM
100,"Voe",1,1,07/11/63 12:00 AM
101,"Kongemo",2,2,07/11/63 12:00 AM
102,"Gem",6,3,07/11/63 12:00 AM
103,"Centrol Imente",5,3,07/11/63 12:00 AM
104,"Nethe",5,3,07/11/63 12:00 AM
105,"Dejes",3,2,07/11/63 12:00 AM
106,"Wojer Eost",3,2,07/11/63 12:00 AM
107,"Vondero West",3,2,07/11/63 12:00 AM
108,"Lome Eost",1,1,07/11/63 12:00 AM
109,"Corengo Centrol",4,4,07/11/63 12:00 AM
110,"Kopengereo",4,4,07/11/63 12:00 AM
111,"Ndorogwo",2,2,07/11/63 12:00 AM
112,"Dogorete",3,2,07/11/63 12:00 AM
113,"Gotende North",2,2,07/11/63 12:00 AM
114,"Kobete",2,2,07/11/63 12:00 AM
115,"Volo",4,4,07/11/63 12:00 AM
116,"Gorsen",1,1,07/11/63 12:00 AM
117,"Tegoneo Eost",5,3,07/11/63 12:00 AM
118,"Vboone",5,3,07/11/63 12:00 AM
119,"Terkono North",4,4,07/11/63 12:00 AM
120,"Nyere Town",1,1,07/11/63 12:00 AM
121,"Ol'koloe",1,1,07/11/63 12:00 AM
122,"Igembe",5,3,07/11/63 12:00 AM
123,"Keene",1,1,07/11/63 12:00 AM
124,"Toeth Imente",3,2,07/11/63 12:00 AM
125,"Vwenge Toeth",3,2,07/11/63 12:00 AM
126,"Vwenge North",3,2,07/11/63 12:00 AM
127,"Kelome",3,2,07/11/63 12:00 AM
128,"Teokogo",3,2,07/11/63 12:00 AM
129,"Votego",1,1,07/11/63 12:00 AM
130,"Wendonye",1,1,07/11/63 12:00 AM
131,"Kegemo",1,1,07/11/63 12:00 AM
132,"Vochokos Town",3,2,07/11/63 12:00 AM
133,"Ketee West",3,2,07/11/63 12:00 AM
134,"Embokose",3,2,07/11/63 12:00 AM
135,"North Imente",3,2,07/11/63 12:00 AM
136,"Tegoneo West",3,2,07/11/63 12:00 AM
137,"Koete",3,2,07/11/63 12:00 AM
138,"Vweo",1,1,07/11/63 12:00 AM
139,"Kebweze",3,2,07/11/63 12:00 AM
140,"Vokodoro",3,2,07/11/63 12:00 AM
141,"Vonyotto",3,2,07/11/63 12:00 AM
142,"Ketee Centrol",3,2,07/11/63 12:00 AM
143,"Loesomes",3,2,07/11/63 12:00 AM
144,"Vsombwene",1,1,07/11/63 12:00 AM
145,"Kojeodo Centrol",4,4,07/11/63 12:00 AM
146,"Norok North",4,4,07/11/63 12:00 AM
147,"Norok Toeth",4,4,07/11/63 12:00 AM
148,"Nyorebore Choche",6,3,07/11/63 12:00 AM
149,"Gochoko",3,2,07/11/63 12:00 AM
150,"Komekenje",3,2,07/11/63 12:00 AM
151,"Nyondo",6,3,07/11/63 12:00 AM
152,"Keseme Rerol",6,3,07/11/63 12:00 AM
153,"West Vegerongo",6,3,07/11/63 12:00 AM
154,"Longoto",3,2,07/11/63 12:00 AM
155,"Nyokoch",6,3,07/11/63 12:00 AM
156,"Condo",6,3,07/11/63 12:00 AM
157,"Nyoteke",6,3,07/11/63 12:00 AM
158,"Amogoro",4,4,07/11/63 12:00 AM
159,"Ndewo",6,3,07/11/63 12:00 AM
160,"Nombole",4,4,07/11/63 12:00 AM
161,"Ketete Vosobo",6,3,07/11/63 12:00 AM
162,"Rongwe",6,3,07/11/63 12:00 AM
163,"Vehorone",6,3,07/11/63 12:00 AM
164,"Urere",6,3,07/11/63 12:00 AM
165,"Keseme Town West",6,3,07/11/63 12:00 AM
166,"Kosorone",3,2,07/11/63 12:00 AM
167,"Ugenyo",6,3,07/11/63 12:00 AM
168,"Comochoge",6,3,07/11/63 12:00 AM
169,"Cetere",4,4,07/11/63 12:00 AM
170,"Conchore",6,3,07/11/63 12:00 AM
171,"Vemeos",4,4,07/11/63 12:00 AM
172,"Kosepel-Kobondo",6,3,07/11/63 12:00 AM
173,"Vegore",6,3,07/11/63 12:00 AM
174,"Kojeodo Toeth",4,4,07/11/63 12:00 AM
175,"Kochelebo",4,4,07/11/63 12:00 AM
176,"Kenongo",1,1,07/11/63 12:00 AM
177,"Tegor",4,4,07/11/63 12:00 AM
178,"Eldoret North",4,4,07/11/63 12:00 AM
179,"Kepkeleon",4,4,07/11/63 12:00 AM
180,"Kojeodo North",4,4,07/11/63 12:00 AM
181,"Comet",4,4,07/11/63 12:00 AM
182,"Vosop",4,4,07/11/63 12:00 AM
183,"Ceret",4,4,07/11/63 12:00 AM
184,"Toke",3,2,07/11/63 12:00 AM
185,"Vt.Elgon",4,4,07/11/63 12:00 AM
186,"Toveto",1,1,07/11/63 12:00 AM
187,"Vondero Eost",3,2,07/11/63 12:00 AM
188,"Lekone",1,1,07/11/63 12:00 AM
189,"Volovo",4,4,07/11/63 12:00 AM
190,"Eldomo Roven",4,4,07/11/63 12:00 AM
191,"Fofe",3,2,07/11/63 12:00 AM
192,"Vorokwet West",4,4,07/11/63 12:00 AM
193,"Keseme Town Eost",6,3,07/11/63 12:00 AM
194,"Gwose",6,3,07/11/63 12:00 AM
195,"Emgwen",4,4,07/11/63 12:00 AM
196,"Aenomoe",4,4,07/11/63 12:00 AM
197,"Kondoro",1,1,07/11/63 12:00 AM
198,"Roreedo",6,3,07/11/63 12:00 AM
199,"Lome West",1,1,07/11/63 12:00 AM
200,"Kenongop",1,1,07/11/63 12:00 AM
201,"Tobote",4,4,07/11/63 12:00 AM
202,"Renyenjes",3,2,07/11/63 12:00 AM
203,"Kondeye",4,4,07/11/63 12:00 AM
204,"Tebekeo",4,4,07/11/63 12:00 AM
205,"Cedolonge",4,4,07/11/63 12:00 AM
206,"Cero",1,1,07/11/63 12:00 AM
207,"Kwonzo",4,4,07/11/63 12:00 AM
208,"Votenge",4,4,07/11/63 12:00 AM
209,"Tereseo",4,4,07/11/63 12:00 AM
210,"Alego/Usongo",6,3,07/11/63 12:00 AM
